,Year,County,State,Deaths,Population,Crude Rate,% Gun Ownership,Poverty %,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",# of Gun Laws,total_high_risk,total_dealer,total_ammo_regs,total_buyer,total_open_carry,total_background_checks,total_assault_large_mags,total_gun_trafficking,total_concealed_carry,total_syg,total_child_access_prev,total_preemption,total_immunity,total_domestic_violence,2013 Urbanization_Large Fringe Metro,2013 Urbanization_Medium Metro,2013 Urbanization_Micropolitan (Nonmetro),2013 Urbanization_NonCore (Nonmetro),2013 Urbanization_Small Metro,Education Year,Education Score
3147,2011,Autauga County,AL,10,55267,18.093980132809815,0.513,0.149,0.213,0.33799999999999997,0.26899999999999996,0.18,0.113,0.326,0.284,0.27699999999999997,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,2.4159999999999995
3148,2011,Baldwin County,AL,32,186717,17.138235939951905,0.513,0.134,0.18,0.29600000000000004,0.293,0.231,0.09699999999999999,0.276,0.313,0.313,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,2.575
3151,2011,Blount County,AL,10,57677,17.337933665065798,0.513,0.149,0.29600000000000004,0.36,0.248,0.096,0.198,0.34,0.335,0.126,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,2.144
3154,2011,Calhoun County,AL,24,117797,20.374033294566075,0.513,0.209,0.261,0.322,0.264,0.152,0.159,0.324,0.337,0.18,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,2.305
3168,2011,Cullman County,AL,12,80536,14.900168868580511,0.513,0.182,0.29600000000000004,0.32,0.265,0.11900000000000001,0.182,0.35600000000000004,0.324,0.13699999999999998,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,2.2070000000000003
3171,2011,DeKalb County,AL,15,71375,21.015761821366024,0.513,0.203,0.36200000000000004,0.34,0.215,0.083,0.259,0.33299999999999996,0.281,0.127,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,2.019
3174,2011,Etowah County,AL,21,104303,20.133649080083988,0.513,0.21,0.259,0.32299999999999995,0.284,0.134,0.155,0.32899999999999996,0.33899999999999997,0.177,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,2.2929999999999997
3176,2011,Franklin County,AL,11,31884,34.500062727386776,0.513,0.19899999999999998,0.379,0.305,0.21899999999999997,0.09699999999999999,0.23199999999999998,0.368,0.271,0.129,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,2.034
3181,2011,Houston County,AL,13,102369,12.699156971348748,0.513,0.175,0.235,0.304,0.27699999999999997,0.184,0.14300000000000002,0.316,0.33,0.21,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,2.41
3182,2011,Jackson County,AL,12,53291,22.51787356213995,0.513,0.179,0.33,0.349,0.217,0.10400000000000001,0.175,0.408,0.275,0.142,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,2.095
